,A,2,3,4,5,6,7,8,9,10
"A,A",S,S,S,S,S,S,S,S,S,S
"10,10",S,S,S,S,S,S,S,S,S,S
"9,9",S,S,S,S,S,S,S,S,S,S
"8,8",S,S,S,S,S,S,S,S,S,S
"7,7",S,S,S,S,S,S,S,S,S,S
"6,6",S,S,S,S,S,S,S,S,S,S
"5,5",S,S,S,S,S,P,P,P,P,H
"4,4",P,P,P,P,P,P,P,P,H,H
"3,3",P,P,P,P,P,P,P,H,H,H
"2,2",P,P,P,P,H,H,H,H,H,H
"A,9",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,S,S,S,S,S,S
"A,7",S,S,S,S,S,S,S,S,S,S
"A,6",S,S,S,S,S,S,S,S,S,S
"A,5",S,S,S,S,S,S,S,S,S,S
"A,4",S,S,S,S,S,S,S,S,S,S
"A,3",S,S,S,S,S,S,S,S,S,S
"A,2",S,S,S,S,S,S,S,S,S,H
21,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S
16,S,S,S,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S,S,S,H
12,S,S,S,S,S,S,S,S,H,H
11,S,S,S,S,S,S,S,H,H,H
10,S,S,S,S,S,S,H,H,H,H
9,S,S,S,S,S,H,H,H,H,H
8,S,S,S,S,H,H,H,H,H,H
7,S,S,S,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
